35 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
36 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
37 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
38 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
39 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
40 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
41 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
42 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
43 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
44 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
45 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
46 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
47 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
48 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
49 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
50 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
51 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
52 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
53 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
54 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
55 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
56 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
57 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
58 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
59 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
60 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
